Price,Airline,Departure Date,Departure Time
533.35,FI,2025-07-01,2025-07-01T20:25:00
533.35,FI,2025-07-02,2025-07-02T07:30:00
553.39,TP,2025-07-01,2025-07-01T22:05:00
553.39,TP,2025-07-02,2025-07-02T16:30:00
677.67,6X,2025-07-01,2025-07-01T17:40:00
684.44,UA,2025-07-01,2025-07-01T17:30:00
684.44,UA,2025-07-02,2025-07-02T15:25:00
687.83,AC,2025-07-01,2025-07-01T09:00:00
687.83,AC,2025-07-01,2025-07-01T18:55:00
687.83,AC,2025-07-02,2025-07-02T09:25:00
693.57,AC,2025-07-01,2025-07-01T15:55:00
693.57,AC,2025-07-01,2025-07-01T21:10:00
693.57,AC,2025-07-02,2025-07-02T13:25:00
693.57,AC,2025-07-01,2025-07-01T10:30:00
693.57,AC,2025-07-01,2025-07-01T18:20:00
693.57,AC,2025-07-02,2025-07-02T09:25:00
693.57,AC,2025-07-01,2025-07-01T10:30:00
693.57,AC,2025-07-01,2025-07-01T16:30:00
693.57,AC,2025-07-02,2025-07-02T09:25:00
693.58,6X,2025-07-01,2025-07-01T17:00:00
693.58,6X,2025-07-02,2025-07-02T15:25:00
694.84,6X,2025-07-01,2025-07-01T05:00:00
694.84,6X,2025-07-01,2025-07-01T16:05:00
694.84,6X,2025-07-01,2025-07-01T05:00:00
694.84,6X,2025-07-01,2025-07-01T16:10:00
694.92,6X,2025-07-01,2025-07-01T10:00:00
694.92,6X,2025-07-02,2025-07-02T15:25:00
700.88,LH,2025-07-01,2025-07-01T16:30:00
700.88,LH,2025-07-02,2025-07-02T08:25:00
700.88,LH,2025-07-01,2025-07-01T16:30:00
700.88,LH,2025-07-02,2025-07-02T15:25:00
704.27,LH,2025-07-01,2025-07-01T18:00:00
704.27,LH,2025-07-02,2025-07-02T09:25:00
704.27,LH,2025-07-01,2025-07-01T21:50:00
704.27,LH,2025-07-02,2025-07-02T13:25:00
704.27,LH,2025-07-01,2025-07-01T15:45:00
704.27,LH,2025-07-02,2025-07-02T09:25:00
704.27,LH,2025-07-01,2025-07-01T18:00:00
704.27,LH,2025-07-02,2025-07-02T13:25:00
704.27,LH,2025-07-01,2025-07-01T21:50:00
704.27,LH,2025-07-02,2025-07-02T21:00:00
704.27,SN,2025-07-01,2025-07-01T21:50:00
704.27,SN,2025-07-02,2025-07-02T13:25:00
704.27,SN,2025-07-01,2025-07-01T15:45:00
704.27,SN,2025-07-02,2025-07-02T09:25:00
704.27,SN,2025-07-01,2025-07-01T15:45:00
704.27,SN,2025-07-02,2025-07-02T13:25:00
704.27,SN,2025-07-01,2025-07-01T21:50:00
704.27,SN,2025-07-02,2025-07-02T21:00:00
744.22,AF,2025-07-01,2025-07-01T21:30:00
744.22,AF,2025-07-02,2025-07-02T12:40:00
744.22,AF,2025-07-01,2025-07-01T01:00:00
744.22,AF,2025-07-01,2025-07-01T19:20:00
744.22,AF,2025-07-01,2025-07-01T23:30:00
744.22,AF,2025-07-02,2025-07-02T19:20:00
766.48,KL,2025-07-01,2025-07-01T18:20:00
766.48,KL,2025-07-02,2025-07-02T09:45:00
766.48,KL,2025-07-01,2025-07-01T21:10:00
766.48,KL,2025-07-02,2025-07-02T14:20:00
766.48,KL,2025-07-01,2025-07-01T00:50:00
766.48,KL,2025-07-01,2025-07-01T21:00:00
766.48,KL,2025-07-01,2025-07-01T21:10:00
766.48,KL,2025-07-02,2025-07-02T21:00:00
766.48,VS,2025-07-01,2025-07-01T18:20:00
766.48,KL,2025-07-02,2025-07-02T09:45:00
766.48,VS,2025-07-01,2025-07-01T19:20:00
766.48,KL,2025-07-02,2025-07-02T14:20:00
766.48,KL,2025-07-01,2025-07-01T17:30:00
766.48,KL,2025-07-02,2025-07-02T09:45:00
766.48,AF,2025-07-01,2025-07-01T17:30:00
766.48,AF,2025-07-02,2025-07-02T09:45:00
766.48,AF,2025-07-01,2025-07-01T21:10:00
766.48,AF,2025-07-02,2025-07-02T14:20:00
766.48,AF,2025-07-01,2025-07-01T17:30:00
766.48,AF,2025-07-02,2025-07-02T14:20:00
766.48,AF,2025-07-01,2025-07-01T21:10:00
766.48,AF,2025-07-02,2025-07-02T21:00:00
766.48,KL,2025-07-01,2025-07-01T19:20:00
766.48,KL,2025-07-02,2025-07-02T14:20:00
768.80,AY,2025-07-01,2025-07-01T22:55:00
772.13,AY,2025-07-01,2025-07-01T23:10:00
772.13,AY,2025-07-02,2025-07-02T13:00:00
772.13,AY,2025-07-01,2025-07-01T19:30:00
772.13,AY,2025-07-02,2025-07-02T09:30:00
772.13,AY,2025-07-01,2025-07-01T20:05:00
772.13,AY,2025-07-02,2025-07-02T10:20:00
772.13,AY,2025-07-01,2025-07-01T19:30:00
772.13,AY,2025-07-02,2025-07-02T10:20:00
772.13,AY,2025-07-01,2025-07-01T23:10:00
772.13,AY,2025-07-02,2025-07-02T16:10:00
782.38,AY,2025-07-01,2025-07-01T20:05:00
782.38,AY,2025-07-02,2025-07-02T13:00:00
782.38,AY,2025-07-01,2025-07-01T20:05:00
782.38,AY,2025-07-02,2025-07-02T16:10:00
828.47,AY,2025-07-01,2025-07-01T16:45:00
828.47,AY,2025-07-02,2025-07-02T10:15:00
846.08,IB,2025-07-01,2025-07-01T19:10:00
846.08,AY,2025-07-02,2025-07-02T11:05:00
854.09,IB,2025-07-01,2025-07-01T23:25:00
854.09,IB,2025-07-03,2025-07-03T10:05:00
954.84,6X,2025-07-01,2025-07-01T15:00:00
954.84,6X,2025-07-02,2025-07-02T02:20:00
954.84,6X,2025-07-01,2025-07-01T20:00:00
954.84,6X,2025-07-02,2025-07-02T10:00:00
1127.36,TK,2025-07-01,2025-07-01T12:50:00
1127.36,TK,2025-07-02,2025-07-02T08:00:00
1127.36,TK,2025-07-01,2025-07-01T19:50:00
1127.36,TK,2025-07-02,2025-07-02T15:00:00
1127.36,TK,2025-07-01,2025-07-01T06:45:00
1127.36,TK,2025-07-02,2025-07-02T08:00:00
1127.36,TK,2025-07-01,2025-07-01T12:50:00
1127.36,TK,2025-07-02,2025-07-02T15:00:00
1214.48,AF,2025-07-01,2025-07-01T19:20:00
1214.48,AF,2025-07-02,2025-07-02T21:00:00
1326.26,UX,2025-07-01,2025-07-01T00:40:00
1326.26,UX,2025-07-01,2025-07-01T15:00:00
1326.26,UX,2025-07-01,2025-07-01T21:00:00
1326.26,UX,2025-07-01,2025-07-01T22:05:00
1326.26,UX,2025-07-02,2025-07-02T15:00:00
1326.26,UX,2025-07-02,2025-07-02T21:00:00
1326.26,UX,2025-07-01,2025-07-01T00:40:00
1326.26,UX,2025-07-01,2025-07-01T20:25:00
1326.26,UX,2025-07-02,2025-07-02T14:20:00
1333.11,UX,2025-07-01,2025-07-01T00:40:00
1333.11,UX,2025-07-02,2025-07-02T07:05:00
1333.11,UX,2025-07-02,2025-07-02T14:20:00
1536.26,UX,2025-07-01,2025-07-01T22:05:00
1536.26,UX,2025-07-02,2025-07-02T13:05:00
1536.26,UX,2025-07-02,2025-07-02T21:00:00
2201.72,SK,2025-07-01,2025-07-01T18:55:00
2201.72,SK,2025-07-03,2025-07-03T08:00:00
553.39,TP,2025-07-02,2025-07-02T22:05:00
553.39,TP,2025-07-03,2025-07-03T16:30:00
595.35,FI,2025-07-02,2025-07-02T20:25:00
595.35,FI,2025-07-03,2025-07-03T07:30:00
626.75,FI,2025-07-02,2025-07-02T23:10:00
626.75,FI,2025-07-04,2025-07-04T07:30:00
677.67,6X,2025-07-02,2025-07-02T17:40:00
684.44,UA,2025-07-02,2025-07-02T17:30:00
684.44,UA,2025-07-03,2025-07-03T15:25:00
687.83,UA,2025-07-02,2025-07-02T21:50:00
687.83,UA,2025-07-03,2025-07-03T13:15:00
687.83,UA,2025-07-02,2025-07-02T15:45:00
687.83,UA,2025-07-03,2025-07-03T09:25:00
687.83,UA,2025-07-02,2025-07-02T15:45:00
687.83,UA,2025-07-03,2025-07-03T13:15:00
693.58,6X,2025-07-02,2025-07-02T17:00:00
693.58,6X,2025-07-03,2025-07-03T15:25:00
694.84,6X,2025-07-02,2025-07-02T05:00:00
694.84,6X,2025-07-02,2025-07-02T16:05:00
694.84,6X,2025-07-02,2025-07-02T05:00:00
694.84,6X,2025-07-02,2025-07-02T16:10:00
694.84,6X,2025-07-02,2025-07-02T20:00:00
694.84,6X,2025-07-03,2025-07-03T10:00:00
694.92,6X,2025-07-02,2025-07-02T10:00:00
694.92,6X,2025-07-03,2025-07-03T15:25:00
