Route ID,Origin,Destination,Segments,Airlines,Departure Time,Arrival Time,Total Duration,Price,Number of Stops
Route-1,JFK,HEL,JFK → KEF → HEL,FI → FI,2025-07-01T20:25:00,2025-07-02T14:00:00,PT10H35M,208.47,1
Route-2,JFK,HEL,JFK → HEL,AY,2025-07-01T22:55:00,2025-07-02T14:00:00,PT8H5M,540.37,0
Route-3,JFK,HEL,JFK → ORD → HEL,IB → IB,2025-07-01T15:40:00,2025-07-02T14:15:00,PT15H35M,551.93,1
Route-4,JFK,HEL,JFK → FRA → HEL,UA → UA,2025-07-01T15:45:00,2025-07-02T12:50:00,PT14H5M,552.33,1
Route-5,JFK,HEL,JFK → FRA → HEL,UA → UA,2025-07-01T15:45:00,2025-07-02T16:50:00,PT18H5M,552.33,1
Route-6,JFK,HEL,JFK → LIS → HEL,TP → TP,2025-07-01T22:05:00,2025-07-02T23:15:00,PT18H10M,557.23,1
Route-7,JFK,HEL,JFK → LIS → ZRH → HEL,TP → TP → TP,2025-07-01T22:05:00,2025-07-02T22:45:00,PT17H40M,576.90,2
Route-8,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T23:10:00,2025-07-02T17:50:00,PT11H40M,591.46,1
Route-9,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T23:10:00,2025-07-02T21:00:00,PT14H50M,591.46,1
Route-10,JFK,HEL,JFK → YUL → MUC → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T18:55:00,PT26H55M,597.50,2
Route-11,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T17:50:00,PT14H45M,601.67,1
Route-12,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T21:00:00,PT17H55M,601.67,1
Route-13,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T15:55:00,2025-07-02T18:55:00,PT20H,603.26,2
Route-14,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T18:55:00,PT25H25M,603.26,2
Route-15,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T18:55:00,PT25H25M,603.26,2
Route-16,JFK,HEL,JFK → MXP → HEL,IB → AY,2025-07-01T19:10:00,2025-07-02T15:05:00,PT12H55M,604.62,1
Route-17,JFK,HEL,JFK → HEL,IB,2025-07-01T22:55:00,2025-07-02T14:00:00,PT8H5M,611.93,0
Route-18,JFK,HEL,JFK → MUC → HEL,LH → LH,2025-07-01T16:30:00,2025-07-02T11:55:00,PT12H25M,614.06,1
Route-19,JFK,HEL,JFK → MUC → HEL,LH → LH,2025-07-01T16:30:00,2025-07-02T18:55:00,PT19H25M,614.06,1
Route-20,JFK,HEL,JFK → YUL → FRA → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T12:50:00,PT20H50M,617.33,2
